cutoff,n_estimators,learning_rate,reg_alpha,reg_lambda,max_depth,max_leaves,min_child_weight,colsample_bytree,subsample,gamma,max_bin,iteration,MAP
39,603,0.3846205524481776,34.20141635807953,0.5404902590086553,6,9,10,0.679585911499774,0.703232262602237,5.403976995641028,612,66,0.08373747013487698
29,616,0.44317225395148824,39.556198493000224,0.46518329173779954,7,11,5,0.6204880792539398,0.6587129409282588,5.219215295787752,463,67,0.08371585947992313
36,661,0.45140087561560466,42.561412636593396,0.41233292129912025,11,6,7,0.7708159297926064,0.8916641416843732,5.841393497691494,442,68,0.08383869238154448
30,780,0.43260832756109213,36.720900120572196,0.5058163316928943,8,10,9,0.7925991582572263,0.6836414817888178,6.035685819909142,371,69,0.08390548999144785
27,576,0.46546878238816886,43.82324710699997,0.46006954441499603,6,11,5,0.8258238174768215,0.7447297210552946,5.601693636824566,517,70,0.08381729157381558
36,631,0.3718635078336883,40.664600452809296,0.32009098253096735,7,9,5,0.6567029596471423,0.7310089937717297,7.467493947632151,391,71,0.08389095540998151
34,752,0.40113121621878606,41.38731058044725,0.30246420169257565,6,9,5,0.7306473890928706,0.6674334332324735,7.175762091342648,357,72,0.08384478710170863
38,722,0.3928687764396965,43.1720083480264,0.30064241385427914,7,8,5,0.7158954867282935,0.7181807978082676,7.474524715949026,302,73,0.08378973234932915
33,767,0.328308035167214,42.10629597400269,0.44198888269151604,8,10,6,0.7496254259630272,0.7044528995926007,7.038265969070051,380,74,0.08379466102646119
35,645,0.35236172269714877,40.09395383539679,0.3094223050099813,6,8,5,0.6889583924350775,0.8262142014536519,7.643412771327371,411,75,0.08380938269486964
37,694,0.37703702578365555,48.306028387789354,0.4914968602551553,11,7,7,0.6727356295190219,0.7839861880323175,4.152493704481398,336,76,0.08366314124580386
33,727,0.48265346316287033,44.53641930461722,0.5183029606574191,9,6,5,0.45076463955165064,0.6826453319340366,5.306369460784565,558,77,0.08359724765166451
39,742,0.3384595875343347,41.21836789672067,0.48054475964296584,10,9,6,0.7789786647264888,0.696255885227323,7.996682345612038,308,78,0.08379215292723499
31,681,0.49398315171698987,46.862155277907696,0.38901059553274814,5,12,5,0.7059478465598491,0.8646766152570795,5.00740589528106,485,79,0.08379289161898643
32,702,0.31686899939886987,35.161516989561164,0.521904838779017,4,10,5,0.8093073478131916,0.9120942372286782,7.353678067814582,277,80,0.0838371409522039
31,794,0.4476201770390623,41.04765594674864,0.33569508564995015,6,6,5,0.735603236564247,0.6629812921221779,4.650328624755672,319,81,0.08378436289015725
35,766,0.45877403223709573,42.09965565596047,0.3428827806014015,7,5,5,0.7251332365027306,0.6340125662035642,4.536836441926664,401,82,0.08386791241354062
30,756,0.30695450886947145,40.595289188049705,0.3262119508553696,6,6,5,0.7501344571923716,0.642776014537174,4.8832810125171155,344,83,0.0839586595089132
32,737,0.4681906757058585,45.85670851052643,0.3681258632093857,5,6,5,0.713307153742373,0.651619561027808,4.341155780471689,322,84,0.08411727485097738
34,736,0.46980058517652334,46.10124448507588,0.3697494359949241,5,7,6,0.6501760297356175,0.684406904616934,4.328948389648051,286,85,0.08384925648086891
