,topK,alpha,result
88,2.0,0.3514064415448763,0.036907259633489585
89,14.0,0.3568743908466743,0.054091457031478336
90,26.0,0.3566817107248985,0.052874761940457815
91,13.0,0.3546632421287392,0.05417591685273959
92,12.0,0.3537635421384019,0.054173079995143286
93,26.0,0.35365675579160816,0.052881795517785456
94,11.0,0.3559487693281716,0.05413185352667033
95,43.0,0.3558955369190914,0.051177493355749906
96,32.0,0.35427940697072025,0.05216725545684965
97,13.0,0.35618953170199746,0.05419182802061015
98,242.0,0.3575036070386931,0.041969871300593174
99,21.0,0.3555917006475949,0.05350496489123603
100,50.0,0.36048300519110565,0.05058553722474608
101,13.0,0.3589688694997559,0.054204765117559894
102,2.0,0.35915779612024124,0.036954148661599795
103,17.0,0.35667278018075466,0.0539228687089346
104,32.0,0.3509901579961926,0.05215187083116762
105,11.0,0.3528290932933131,0.05410963277698139
106,21.0,0.3526649394735,0.05350579598007171
107,42.0,0.3547254183850844,0.05122406556610253
108,8.0,0.3591154186847083,0.053318606885384943
109,305.0,0.35376844743675684,0.040553238546813225
110,26.0,0.36302234091824015,0.05287783306470578
111,13.0,0.3520867014936591,0.05418210818567673
112,15.0,0.35601048416936854,0.05404549949219732
113,33.0,0.3533320962050622,0.05205345652635507
114,21.0,0.3550753829853093,0.05349946631825456
115,2.0,0.3522039679342592,0.036906383922434505
116,12.0,0.3568161543406514,0.054184966238826966
117,40.0,0.36926556237657854,0.0513993717637718
118,26.0,0.35400328010569193,0.05288051709120064
119,10.0,0.35111344998248,0.05388121386715584
120,54.0,0.35278511828991616,0.050338152756134215
121,15.0,0.3572280426993306,0.054042968296803794
122,11.0,0.3553763933535384,0.05412626236258373
123,2.0,0.3555239941623872,0.03690399663369842
124,33.0,0.3579611679462519,0.05203605497635763
125,9.0,0.35209557375459255,0.05360957164454098
126,21.0,0.35619196652032764,0.053502799598041294
127,45.0,0.3666743235214037,0.05104606864860553
128,375.0,0.35977398492507706,0.03924082321747465
129,18.0,0.35522529610930936,0.053911234580790335
130,9.0,0.35410794971353604,0.05360504695149721
131,15.0,0.35726529349991626,0.054044066003400205
132,164.0,0.35480873465131146,0.044496829814423065
133,25.0,0.3583918279869537,0.0530403047965299
134,36.0,0.3530344239193928,0.05187271422681116
135,7.0,0.3564921783785127,0.052748877081847674
136,27.0,0.3511313698464822,0.05276364368979184
137,15.0,0.3539587323074897,0.054037616977146256
138,3.0,0.357143118273851,0.04386420833935559
139,21.0,0.3519841929653298,0.05350499054901216
140,11.0,0.3627346572336892,0.054122781829473186
141,11.0,0.3638590172805231,0.054104230141771584
142,30.0,0.36370134455790526,0.05248755040079522
143,8.0,0.3623892718936216,0.05328896211394892
144,17.0,0.36132677279766073,0.053942666472111975
145,35.0,0.3598853700897935,0.05191845423277276
146,10.0,0.3657220816953446,0.053908020665440225
147,24.0,0.36680199316268997,0.05317870172545025
148,2.0,0.3645173330692301,0.036961133154486105
149,42.0,0.353177096013842,0.05121728856653625
150,16.0,0.35542158577029964,0.053951412427107825
151,15.0,0.35824608329377255,0.05403996856810688
152,142.0,0.35446884546467433,0.04546629326793315
153,29.0,0.3563691324959774,0.052591502323031045
154,2.0,0.3505232252749483,0.03690099690500151
155,11.0,0.35568475827490065,0.05413050816675644
156,206.0,0.352543910021562,0.04303937888547801
157,22.0,0.3549979728880438,0.05339209410290413
158,11.0,0.35156055391166036,0.05409971548872719
159,31.0,0.353270966923341,0.052286951213633436
160,22.0,0.3561325243407483,0.05339753466700044
161,10.0,0.3511459222953078,0.05388280464927626
162,10.0,0.35156135403111255,0.05388368259144231
163,2.0,0.35424271445216615,0.03691257971759355
164,15.0,0.3526642104401849,0.05406203202447263
165,21.0,0.36790733964831757,0.05354191766664894
166,9.0,0.3555151678486018,0.0536000191429301
167,38.0,0.3537604706133518,0.051604362892874484
168,27.0,0.351777634422303,0.052757272752421785
169,14.0,0.36202030865964047,0.054133742162105404
170,19.0,0.36297279314080566,0.053788433117538406
171,12.0,0.3635982424019771,0.054141814321588655
172,8.0,0.3648330720774823,0.053284045860930176
173,2.0,0.3621505842806634,0.03696023290121039
174,20.0,0.3633865723170023,0.05374533028474143
175,29.0,0.3604643794411583,0.052635354809113355
176,10.0,0.36172468471848973,0.05389884075936107
177,19.0,0.36429280147661935,0.05378842753976098
178,33.0,0.35899163304423753,0.05205742790387867
179,14.0,0.3573117624266597,0.05409693440890555
180,24.0,0.3609025738559346,0.053182970956288156
181,8.0,0.3547920382310922,0.0532853075541828
182,14.0,0.36384762398529,0.054115452629942565
183,15.0,0.36242127503746313,0.05405208350066488
184,193.0,0.3638654710442965,0.04347938966620616
185,2.0,0.35775802448232313,0.036950555457385306
186,26.0,0.3655961758002572,0.05286129495465312
187,15.0,0.3646586105865562,0.05403735928382948
188,36.0,0.35592174030450563,0.05188040151965244
189,2.0,0.35986856128202893,0.03695933041682371
190,21.0,0.3629701546304127,0.05354384534652554
191,11.0,0.35352050079422737,0.05412391188717865
192,13.0,0.3541449891530897,0.054186040518758374
193,14.0,0.353566782564365,0.054106375354968095
194,27.0,0.35484716973163133,0.05274475175766758
195,8.0,0.3540295662643966,0.05327722981692198
196,18.0,0.3527039124861049,0.05391132717189554
197,9.0,0.3554967620611973,0.053599240485202156
198,23.0,0.3567488264589302,0.053326532907100266
199,2.0,0.3544306437508774,0.036908023788996235
200,32.0,0.35331705359513416,0.05215975780844061
201,226.0,0.3534252752138857,0.04244525188350239
202,14.0,0.35234405079809356,0.05411548051882981
203,15.0,0.35234759788314046,0.05404897890975247
204,19.0,0.35586804421881607,0.05378637603322565
205,9.0,0.3505831884976996,0.05363125692759753
206,23.0,0.3545700651383398,0.053326509480435144
207,14.0,0.3523077256379388,0.054116660776532065
208,14.0,0.3517734155430389,0.05411412511891658
209,28.0,0.3516635586722544,0.05273214263402998
210,278.0,0.35076625282546187,0.040965429604877535
211,14.0,0.35007403071983895,0.05413310071770212
212,17.0,0.35189020559915396,0.05390328401685474
213,2.0,0.35016042436666134,0.03689616208753316
214,12.0,0.35091119902353024,0.05415897825826803
215,9.0,0.3507973304622615,0.05361432725756993
