topK,alpha,iteration,RECALL,MAP
11,0.27034965840474073,109,0.027578167564345096,0.027578167564345096
14,0.2867109788765882,110,0.027782030784362415,0.027782030784362415
14,0.287009357096929,111,0.02778813148349179,0.02778813148349179
13,0.28286697935368027,112,0.027723472528456253,0.027723472528456253
16,0.2879383818115705,113,0.02770319018915176,0.02770319018915176
15,0.2683456091086671,114,0.02773798897006324,0.02773798897006324
12,0.29803719775282217,115,0.027685516558615345,0.027685516558615345
14,0.25622312694825766,116,0.02774417194121685,0.02774417194121685
6,0.2802234012179175,117,0.026282512304237716,0.026282512304237716
11,0.24447216824348106,118,0.027657677762419685,0.027657677762419685
15,0.30548624725296286,119,0.02775839700273798,0.02775839700273798
18,0.30206192893593786,120,0.027699961012201055,0.027699961012201055
15,0.3267663015171726,121,0.027721695681266475,0.027721695681266475
13,0.2897946372846228,122,0.027726293773286864,0.027726293773286864
16,0.2498758769421413,123,0.027666623702386692,0.027666623702386692
14,0.30489731750244276,124,0.027814196860498817,0.027814196860498817
16,0.30630632144659253,125,0.027731654024198225,0.027731654024198225
12,0.2723494721692655,126,0.027668930747065824,0.027668930747065824
13,0.28613336079003354,127,0.027719400063257342,0.027719400063257342
19,0.2637252825671027,128,0.0276611000500937,0.0276611000500937
33,0.29730096105061626,129,0.02705597559994514,0.02705597559994514
14,0.32059487016491234,130,0.0277832740060618,0.0277832740060618
14,0.32195818766688467,131,0.027775792965192708,0.027775792965192708
10,0.32329287875581014,132,0.02746195947280014,0.02746195947280014
14,0.31673995655050813,133,0.027755442065868077,0.027755442065868077
14,0.31786009307726737,134,0.027762984810755332,0.027762984810755332
12,0.31728498567993985,135,0.0276313484293349,0.0276313484293349
13,0.30592585066632866,136,0.027714084376359093,0.027714084376359093
14,0.32499872292074095,137,0.027767062989289274,0.027767062989289274
18,0.377815793936556,138,0.027632767621752673,0.027632767621752673
9,0.34034634347120046,139,0.027362881102298047,0.027362881102298047
10,0.32531158635596813,140,0.027477980806850152,0.027477980806850152
14,0.31746361629751757,141,0.027762825980041907,0.027762825980041907
14,0.3008972668331685,142,0.027802078876931265,0.027802078876931265
13,0.2773156791692464,143,0.027727470720299952,0.027727470720299952
14,0.5058962122415374,144,0.02762772731760218,0.02762772731760218
11,0.3305788458925826,145,0.027585241815761056,0.027585241815761056
16,0.2986582920775011,146,0.027714921951272294,0.027714921951272294
12,0.3153881177034413,147,0.027638959734242324,0.027638959734242324
14,0.28254290023681794,148,0.027767891422866446,0.027767891422866446
14,0.28307314307683096,149,0.027767030994613123,0.027767030994613123
12,0.27911981572655614,150,0.027661450848863765,0.027661450848863765
14,0.28411874098010725,151,0.027778528509998013,0.027778528509998013
14,0.2651753689269868,152,0.02773134664677437,0.02773134664677437
13,0.2829634174057693,153,0.027718067713531743,0.027718067713531743
16,0.29498513242192304,154,0.027710577531326625,0.027710577531326625
15,0.2720071935809542,155,0.027731657452199215,0.027731657452199215
11,0.2544433630025315,156,0.027623721127089423,0.027623721127089423
14,0.2864109505813119,157,0.02777634715868915,0.02777634715868915
16,0.2329444225823072,158,0.027627010865391384,0.027627010865391384
37,0.28563201459033194,159,0.026920374164024118,0.026920374164024118
13,0.26516983459867877,160,0.027705010457687723,0.027705010457687723
14,0.2995627929383269,161,0.027798216662460927,0.027798216662460927
14,0.297892037242555,162,0.027798591457237936,0.027798591457237936
12,0.29973923355842363,163,0.027671636582529066,0.027671636582529066
15,0.3060150398498968,164,0.02775284135576907,0.02775284135576907
17,0.27487659551222515,165,0.02765703558356384,0.02765703558356384
13,0.2956911788822276,166,0.027712669754609256,0.027712669754609256
12,0.28753484137671215,167,0.0276487272517846,0.0276487272517846
15,0.3078659287943213,168,0.027735428253309317,0.027735428253309317
11,0.2903111273721109,169,0.027633300104576163,0.027633300104576163
47,0.27510602092161995,170,0.026518469612370078,0.026518469612370078
14,0.28033213249052247,171,0.02776401892439306,0.02776401892439306
14,0.25991131678592305,172,0.027729134443456465,0.027729134443456465
16,0.3021303957855175,173,0.027738003824734306,0.027738003824734306
13,0.2863763122650339,174,0.02771291314268092,0.02771291314268092
15,0.2952249203622217,175,0.027770265884898893,0.027770265884898893
17,0.29658339023333957,176,0.027710839202070296,0.027710839202070296
15,0.30936848197384476,177,0.02773956356519342,0.02773956356519342
13,0.26659339015435135,178,0.027712425223870615,0.027712425223870615
2,0.2959773177642077,179,0.01929774999725756,0.01929774999725756
16,0.3110120271131391,180,0.02773115467871788,0.02773115467871788
14,0.2832600576940695,181,0.02776948658600273,0.02776948658600273
14,0.27375862538687196,182,0.027746605821933314,0.027746605821933314
15,0.2881820746926686,183,0.027728600817966013,0.027728600817966013
14,0.3259556269503796,184,0.02776369783496526,0.02776369783496526
12,0.24935310094980523,185,0.027682435928375097,0.027682435928375097
13,0.3029242023277786,186,0.027737003991106613,0.027737003991106613
15,0.2801714159264753,187,0.027728432845916553,0.027728432845916553
18,0.29493111492316826,188,0.027690152358646705,0.027690152358646705
16,0.2623477562264002,189,0.02765832565461041,0.02765832565461041
11,0.2721804522596949,190,0.027587610564458465,0.027587610564458465
14,0.28331056595302845,191,0.027770392720936163,0.027770392720936163
14,0.2842963199990509,192,0.027773377367148185,0.027773377367148185
13,0.2869721207338732,193,0.027712838869325733,0.027712838869325733
15,0.27894542369024866,194,0.02772722047622628,0.02772722047622628
13,0.2931529044403322,195,0.02771865047370331,0.02771865047370331
15,0.30487796035045306,196,0.027755658029931633,0.027755658029931633
12,0.27409760569154534,197,0.027670833287625936,0.027670833287625936
14,0.28396810372841774,198,0.027773602472547777,0.027773602472547777
16,0.2582786282975665,199,0.027668290853544157,0.027668290853544157
14,0.298517451814149,200,0.027801178455332868,0.027801178455332868
14,0.2946897404225916,201,0.027795203449573827,0.027795203449573827
14,0.29796320558350586,202,0.027796384967255016,0.027796384967255016
14,0.31274384544446904,203,0.02776342245221753,0.02776342245221753
