,topK,shrink,feature_weighting,normalize_avg_row,similarity_from_distance_mode,normalize,result
228,4,4.643009191702047,TF-IDF,False,log,True,0.024264684642189366
229,5,4.292813428845627,TF-IDF,False,log,True,0.023946453024502077
230,4,4.762448701659846,TF-IDF,False,log,True,0.02426632894000678
231,4,3.4702692937099213,TF-IDF,False,log,True,0.02426573246783118
232,4,3.4938794348894406,TF-IDF,False,log,True,0.02426573246783118
233,5,3.1109144203661687,TF-IDF,False,log,True,0.02394607137372305
234,4,3.433750375930309,TF-IDF,False,log,True,0.024267376765648597
235,6,3.5459595436685625,TF-IDF,False,log,True,0.02361323875707052
236,4,4.620951050082445,TF-IDF,False,log,True,0.02426632894000678
237,4,4.7467322964937475,TF-IDF,False,log,True,0.02426632894000678
238,5,4.808529723461422,TF-IDF,False,log,True,0.02394628276711862
239,6,4.632056902719892,TF-IDF,True,log,True,0.023595647398558312
240,4,3.289487906618431,TF-IDF,False,log,True,0.024265629627800905
241,4,3.170160521413007,TF-IDF,False,log,True,0.0242657381811662
242,4,3.018653978090655,TF-IDF,False,log,True,0.024266074125265102
243,4,3.1356696595649596,TF-IDF,False,log,True,0.024265981569237854
244,4,3.1500795478203014,TF-IDF,False,log,True,0.024265981569237854
245,5,3.1710678956606437,TF-IDF,False,log,True,0.02394607137372305
246,7,3.641272365819737,TF-IDF,False,log,True,0.023260967089361633
247,4,2.67747334366254,TF-IDF,False,log,False,0.011673046176545215
248,6,2.1051948236527096,TF-IDF,False,log,True,0.023613962065283458
249,5,3.043886963980359,TF-IDF,False,log,True,0.0239478025142327
250,4,4.096082258011581,TF-IDF,False,log,True,0.02426451895547392
251,4,4.012239677762792,TF-IDF,False,log,True,0.024262874657656506
252,4,4.697530780901501,TF-IDF,False,log,True,0.024264684642189366
253,6,4.767202006364362,TF-IDF,False,log,True,0.023612958803654768
254,4,3.5873523143226365,TF-IDF,False,log,True,0.02426660889342254
255,5,3.4093740272453035,TF-IDF,False,log,True,0.02394610336839914
256,27,2.7254558656883767,TF-IDF,False,exp,True,0.019045580529685444
257,4,3.832016609283622,TF-IDF,False,log,True,0.024266219243974492
258,7,3.8088245094624646,TF-IDF,False,log,True,0.02325966330631113
259,6,5.357136835190906,TF-IDF,False,log,True,0.023611795568645646
260,5,4.827229978180498,BM25,False,log,True,0.018026702071061117
261,4,3.9908213011859957,TF-IDF,False,log,True,0.02426451895547392
262,4,3.764103282738524,TF-IDF,False,log,True,0.024265979283903852
263,4,4.253300314959133,TF-IDF,False,log,True,0.02426499887561521
264,5,4.2574404709723295,TF-IDF,False,log,True,0.023946453024502077
265,8,3.88846289925187,TF-IDF,False,log,True,0.02294653598212636
266,4,4.452817702934949,TF-IDF,False,log,True,0.024263642529882567
267,6,3.4953290373073966,TF-IDF,True,log,True,0.023612842251620466
268,4,5.119748349603175,TF-IDF,False,log,False,0.011673046176545215
269,5,3.870094078660685,TF-IDF,False,log,True,0.02394683696061511
270,4,6.195801087134716,TF-IDF,False,log,True,0.024265053723631354
271,6,1.7275654321216691,TF-IDF,False,log,True,0.023614521972114968
272,4,6.020008837066645,TF-IDF,False,log,True,0.02426594843189476
273,7,6.009148297221632,TF-IDF,False,log,True,0.02326079454664417
274,5,5.8162399518843415,TF-IDF,False,log,True,0.023946698697907737
275,4,2.840519936817977,TF-IDF,False,log,True,0.024266800861479053
276,4,2.92494296464118,TF-IDF,False,log,True,0.02426617696529538
277,5,2.9132451355066795,TF-IDF,False,log,True,0.02394954622407938
278,4,2.6216432456910645,TF-IDF,False,log,True,0.024267383621650613
279,7,2.0821728923611333,TF-IDF,False,log,True,0.023262306295089227
280,6,2.6951770038662133,TF-IDF,False,log,True,0.023611928118018
281,4,3.3571461601015424,TF-IDF,False,exp,True,0.024253037437427086
282,5,2.3264838807095503,TF-IDF,False,log,True,0.02394721746872713
283,4,3.216913174088118,TF-IDF,False,log,True,0.024264093883348783
284,5,6.207346893448305,BM25,False,log,True,0.017987366902147507
285,4,2.6123522407916355,TF-IDF,False,log,True,0.02426771613774851
286,39,1.6572468039980432,TF-IDF,False,log,True,0.017658473058654443
287,6,2.7169235027798626,TF-IDF,True,log,False,0.011977930300969789
288,4,7.368650847606514,TF-IDF,False,log,True,0.024264949740934075
289,4,3.5026221186551902,TF-IDF,False,log,True,0.024267376765648597
290,7,3.337947540501299,TF-IDF,False,log,True,0.0232594644822526
291,6,2.9221916427740906,TF-IDF,False,log,True,0.023612248064778858
292,5,2.3826440407696547,TF-IDF,False,log,True,0.023947073492684743
293,31,3.733186805979453,TF-IDF,False,log,True,0.018527791261248424
294,4,3.438969001176846,TF-IDF,False,log,True,0.024267376765648597
295,4,3.161285622158792,TF-IDF,False,log,True,0.0242657381811662
296,5,3.1954435590265353,TF-IDF,False,log,True,0.02394607137372305
297,4,3.666966034025504,TF-IDF,False,log,True,0.024265169132998674
298,6,1.1576616914021067,TF-IDF,False,log,True,0.023619692540303848
299,4,3.4840387667432324,TF-IDF,False,log,True,0.024267376765648597
