topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
4,19.72176959496581,TF-IDF,True,0.2358598899623718,1.9882376517011555,78,0.042723158355523476,0.042723158355523476
10,18.829900095426,TF-IDF,True,0.23499152041295546,1.8880239677599404,79,0.04140324308313889,0.04140324308313889
27,19.37248607435725,TF-IDF,True,0.2910530492611964,2.0222491607216413,80,0.03925106292718091,0.03925106292718091
4,19.9184701733099,TF-IDF,True,0.21517358715068446,1.9944248298169838,81,0.04279877146310289,0.04279877146310289
5,21.88021003670926,TF-IDF,True,0.2087985030883741,1.96279812556631,82,0.04265906827574133,0.04265906827574133
22,19.94085818521756,TF-IDF,True,0.21612210706207963,2.164018276487477,83,0.039818228293900526,0.039818228293900526
2,20.19044930388339,TF-IDF,True,0.23734837389007538,1.8341176161316335,84,0.04144930250968351,0.04144930250968351
3,23.51774001375901,TF-IDF,True,0.27127106152344116,2.3944421253867643,85,0.04258850325516386,0.04258850325516386
6,17.896253787040916,BM25,True,0.24731557193322556,1.9770033951881192,86,0.03929511506572646,0.03929511506572646
4,20.71020369690971,TF-IDF,True,0.19165803609855564,2.258658060240813,87,0.04280528472382676,0.04280528472382676
8,25.79322195282259,TF-IDF,True,0.19377785711044598,2.2440642008512492,88,0.041853620579513105,0.041853620579513105
5,20.885359697176845,TF-IDF,True,0.1427068902008612,2.333749648802011,89,0.042611131172718836,0.042611131172718836
3,21.042544673648337,TF-IDF,True,0.20348839628872067,2.182244754995681,90,0.042557976924188674,0.042557976924188674
4,16.936755153767606,TF-IDF,True,0.2178600066884176,2.0775133965201302,91,0.04280517652638254,0.04280517652638254
4,17.247134130053357,TF-IDF,True,0.2192158147356261,2.082596103325419,92,0.042817716159331894,0.042817716159331894
3,16.730687763693574,TF-IDF,True,0.21826316188432435,2.0971270147634695,93,0.04258023404008646,0.04258023404008646
5,17.42690228585308,TF-IDF,True,0.1887199319215608,2.136345574388431,94,0.0427089427892473,0.0427089427892473
7,16.160811328165863,TF-IDF,True,0.33003454607472654,1.8832222140786674,95,0.042104299405769104,0.042104299405769104
2,18.95230991503858,TF-IDF,True,0.20837388761414866,2.0256095515481385,96,0.041519887817282,0.041519887817282
6,16.997580348370615,TF-IDF,True,0.19862688996365052,2.2965350327657728,97,0.0424334630801002,0.0424334630801002
4,21.933648057147522,TF-IDF,True,0.22940009227744826,1.121098443098111,98,0.04222879634400684,0.04222879634400684
5,9.975462117822788,TF-IDF,True,0.21981711407971719,1.780069753946242,99,0.04263573143951575,0.04263573143951575
2,18.240113441085857,BM25,True,0.24272867218917116,2.0664081713953957,100,0.03768304415312166,0.03768304415312166
