topK,shrink,feature_weighting,normalize,tversky_alpha,tversky_beta,iteration,RECALL,MAP
5,20.22295250261637,TF-IDF,False,0.40372165885300765,1.5609719705915492,61,0.11841583461282093,0.027846788008760476
6,21.540361954675017,TF-IDF,False,0.3686678626950016,1.5259824929968917,62,0.11835039516694966,0.027790262557452653
4,19.76780452376147,TF-IDF,False,0.3204896186908338,1.6223189740242445,63,0.11809993747764845,0.027959712075338598
2,17.667209054456123,TF-IDF,False,0.2624522922737318,1.7532619803046106,64,0.11357338583034247,0.02696616425883814
7,18.946102207701824,TF-IDF,False,0.3536602302913221,1.8352421604375133,65,0.11796774344783156,0.0278280299872381
8,20.750277046431904,none,False,0.3073319360625724,0.6405868990164487,66,0.11561673613804875,0.02683934764683665
5,22.425347357135383,TF-IDF,False,0.4300890922866124,1.3355877919722787,67,0.1182293011003139,0.027713855842958532
9,18.373920763355738,TF-IDF,False,0.16583588797821136,1.4582508587124072,68,0.11792155000141992,0.027767350941374197
3,23.409218381497347,TF-IDF,False,0.47031198655990036,1.700073934578058,69,0.1168704822601606,0.027546244876280615
30,24.390032578435502,BM25,False,0.262550606708451,1.5137747374137913,70,0.10666433820102182,0.02479122902520395
6,19.527541794488137,TF-IDF,False,0.28971806210305673,1.6038844105474892,71,0.11830414267563842,0.028014526954142735
6,21.37992364273691,TF-IDF,False,0.37703738598756087,1.4852712456668233,72,0.1182927943619261,0.027781433169519948
3,20.408996305359654,TF-IDF,False,0.3090934087631897,1.6705583085990396,73,0.117252395546575,0.02774802387168425
4,22.666612780372112,TF-IDF,False,0.18635646587934276,1.42813393651823,74,0.11869598801026732,0.027998914694879747
10,22.759873031810233,TF-IDF,False,0.18749268867153498,1.3806797321124087,75,0.11767224300142992,0.027530033859507926
36,21.975094628155137,none,False,0.12631649167351344,0.9628399649597101,76,0.11113252122204735,0.025661156269310384
4,23.96577274757726,TF-IDF,False,0.2312386784812975,1.235298211572962,77,0.1181136632216895,0.027927436303169843
8,14.810674830930102,TF-IDF,False,0.17841390990085296,1.335028972770668,78,0.11774143884943973,0.02777240381486166
12,21.444156397461423,TF-IDF,False,0.2141122564980636,1.0801311476304603,79,0.11701189003809642,0.027134724781795714
5,6.799339591715212,TF-IDF,False,0.3350322412824653,1.4413535446675603,80,0.11759201014182023,0.027669820884661307
50,19.115178348062766,TF-IDF,False,0.23849053112627527,1.5046064237523373,81,0.11123050232439922,0.02570961334890962
2,20.52275098759658,TF-IDF,False,0.28221788245836493,1.5696140388750879,82,0.11466590776386171,0.02694923221918674
6,22.62241957666351,TF-IDF,False,0.2556106998493518,1.7700039502794618,83,0.1183081261513318,0.02810405377116612
4,23.280269857512913,TF-IDF,False,0.2950956012103457,1.637167634167298,84,0.11845012233310588,0.02795887564309224
4,23.476820260210683,TF-IDF,False,0.3990787077077941,1.7160824096152567,85,0.11796992933071465,0.027855329444608334
3,24.747732651384418,BM25,False,0.359965165984252,1.6374571439545378,86,0.10747174256757264,0.02529136637377777
8,22.113200776023753,TF-IDF,False,0.6133551464368605,1.8348078822360974,87,0.11740856740287478,0.02747411973504698
7,23.022515945816593,TF-IDF,False,0.3309382943495541,1.6107156728080987,88,0.11838701776061017,0.027787063089844175
5,21.062813825180054,TF-IDF,False,0.42815381164822636,0.30645055964702694,89,0.1107799916377181,0.025561430006617904
10,12.368201755946185,none,True,0.2727002624558262,1.4294786985484031,90,0.11764026696764915,0.02754170048960933
2,19.817236186773748,TF-IDF,False,0.29648735744896326,1.536372529256744,91,0.11452421559968698,0.026917251255104843
4,21.98866010708797,TF-IDF,False,0.12650069967628913,1.6756771480225328,92,0.11802169082192246,0.02796039310487236
6,18.504006385499977,TF-IDF,False,0.21939217096350783,1.7272714873630575,93,0.11845994252546622,0.02806292118705672
9,18.464771758036918,TF-IDF,False,0.20778644667942137,1.7863777933957958,94,0.11802449477931366,0.027747612511563217
22,24.38411015623459,TF-IDF,False,0.21948192511157955,1.8490400803019456,95,0.11565644679890144,0.02679361582803989
6,21.589349496863413,TF-IDF,False,0.16725184866550824,1.722012798691049,96,0.11855115150555026,0.02812995231879061
6,20.800028847987832,TF-IDF,False,0.15345131998046505,1.7409249403558222,97,0.11861399290484703,0.028071252372176104
7,21.567826260733504,TF-IDF,False,0.17354890222689354,1.722003900246022,98,0.11809512700052761,0.02795684055315992
26,20.63365850236205,TF-IDF,False,0.15452063561687962,1.8700021716605217,99,0.11501250798416089,0.026711062707736287
11,22.56337193696073,TF-IDF,False,0.13823805386014745,1.7697387093046086,100,0.11768884626149728,0.027536735601481042
5,20.07905900203987,TF-IDF,False,0.19221547208950499,1.7342025290675498,101,0.11847018124320476,0.028077359927307456
6,21.079349336815124,TF-IDF,False,0.1962469236243487,1.7331553463851481,102,0.1182395180032825,0.028111971310830278
3,19.437864143585244,TF-IDF,False,0.16388131930427075,1.6611464097422095,103,0.11703973997213322,0.027883656159614474
8,17.976758748548566,TF-IDF,False,0.11940348264888204,1.8083652021954437,104,0.11794771980059734,0.027815529210224527
6,21.660787028330528,BM25,False,0.2515727664640923,1.7517356040978453,105,0.10745857689383069,0.02564948735387523
3,18.81020691905478,TF-IDF,False,0.18858865535951969,1.5860526900970708,106,0.11705056400494268,0.02785172890088175
7,20.046780521916343,TF-IDF,True,0.10098635031797419,0.8254685036772951,107,0.1173742547252059,0.027549742579976923
5,20.9442558541994,TF-IDF,False,0.22046146132879296,1.6962695120997546,108,0.11833289034222673,0.028067567271091165
9,22.21888606187998,TF-IDF,False,0.24132981110910837,1.7935660143059524,109,0.11804944413411303,0.027821586488007834
2,20.51115381589307,none,False,0.7404084045486222,1.8689009602737805,110,0.11453619639929105,0.02653450922909231
5,19.463869310047333,TF-IDF,False,0.14117328421752479,1.6057627272979262,111,0.1185097865590035,0.0280217280415961
6,16.91589259376625,TF-IDF,False,0.13189853435934248,1.608864045939372,112,0.11799441999268771,0.02800678424252998
4,19.658525201680433,TF-IDF,False,0.16092755594404756,1.671489463579777,113,0.11821998824542823,0.027978630070241317
8,20.102241198455545,TF-IDF,False,0.14903753373649797,1.734019035497313,114,0.11810554994165526,0.0278252670184247
5,21.334930851568533,TF-IDF,False,0.18433003549658292,1.5642691237393387,115,0.11832674360796969,0.028080522829571918
3,19.30406522553364,TF-IDF,False,0.27336246783489593,1.6436418835262754,116,0.11730823481856517,0.027804833847075834
6,17.45656950390389,TF-IDF,False,0.11584823083483417,1.694869399193749,117,0.11814887003597678,0.028013436849821848
7,2.3540641564693026,TF-IDF,False,0.20102634245676704,1.5065474008206692,118,0.11598198745678234,0.02753403890735382
2,23.824328210807668,TF-IDF,False,0.1746060769163141,1.7681704281366788,119,0.11355369788068549,0.026988645089456476
5,22.81441361931885,TF-IDF,False,0.2229116311867814,1.4766073171554326,120,0.11844529470380012,0.02803046715883546
4,20.218375875410715,TF-IDF,False,0.3225815463406857,1.5458059994511026,121,0.11822785964283465,0.027939705118781893
4,20.75765236318474,TF-IDF,False,0.2506974518969516,1.5931201809840996,122,0.11847009886653351,0.02804118080465625
