,topK,shrink,feature_weighting,asymmetric_alpha,result
166,7,13,none,0.00284815208083998,0.054019645579402566
167,3,15,none,0.017437476106917663,0.054436475135486474
168,3,16,none,0.02243106670087605,0.05443202245285397
169,3,17,none,0.0021489108614768937,0.054403209992572144
170,2,17,none,0.025143520420736136,0.05269228872573002
171,4,15,none,0.0016806116219012096,0.05476348679747633
172,3,15,none,0.008402544886851271,0.05440159783361352
173,3,16,none,0.00016963612198150554,0.05441552153174754
174,3,15,none,0.0001435484859165538,0.054405518336437426
175,3,18,none,0.01239632251522092,0.05448433784782252
176,3,18,none,0.010238866324041732,0.05449125395397114
177,3,18,none,0.00011451673051887093,0.05444192746824113
178,3,18,none,0.002029191963865087,0.05444128260465768
179,2,18,none,0.0020979224586372726,0.05272481528786179
180,3,18,none,0.013135338961098253,0.05447427552142251
181,3,18,none,0.0021581501792309297,0.054440398985353015
182,3,18,none,0.0016641640951750823,0.05444123351469632
183,3,20,none,0.009615321329728633,0.05442719824846814
184,2,19,none,0.009130207504185299,0.052727987168774935
185,4,18,none,0.0359379455702468,0.05472740009746389
186,3,20,none,0.039005651385568954,0.054416212138249674
187,4,22,none,0.04093962016860197,0.05459684199815597
188,4,21,none,0.0472140779200835,0.054614011212145236
189,4,22,none,0.05174271353665766,0.05457144909995609
190,5,21,none,0.042236463814131875,0.05474441200044106
191,4,23,none,0.05143370891647941,0.05440675004819569
192,5,22,none,0.051455038175628645,0.054624317872671496
193,5,22,none,0.06152761618022727,0.05463402318117066
194,5,22,none,0.10426193272982429,0.054638059714812476
195,5,22,none,0.10736914933641223,0.05460418206306196
196,5,22,none,0.1061303870898105,0.05461862678419526
197,5,22,none,0.1162170673027266,0.054574689037406574
198,5,22,none,0.11478866164909056,0.05459168866789306
199,5,22,none,0.09996157071650832,0.05461954722097103
200,5,22,none,0.09634877871033468,0.05462449415025995
201,5,22,none,0.10625069793792181,0.05460814607744263
202,5,22,none,0.11633988149600244,0.054569380627492926
203,5,22,none,0.12477464440540012,0.05453379709958487
204,10,23,none,0.10658159543446291,0.05302279470042445
205,5,25,none,0.1107967008301419,0.05438303624981091
206,9,22,none,0.10324210777451381,0.05330085139843724
207,5,21,none,0.07097767686243893,0.05464766461202695
208,6,24,none,0.06742934380822138,0.05434730879906153
209,9,21,none,0.0722547076592049,0.05327086970452999
210,5,24,none,0.07559336249462655,0.05457711229640892
211,5,24,none,0.0682166643933744,0.05462988177352037
212,6,24,none,0.11883244920556446,0.05431543714164176
213,5,21,none,0.07937692531578028,0.05470655917750041
214,6,20,none,0.07488451010813577,0.054433196149203285
215,9,24,none,0.0845455082478962,0.05325960355839551
216,48,23,none,0.14115185225234056,0.04739271277374148
217,5,21,none,0.06664075892529153,0.054606488175565446
218,8,21,none,0.05641305254583025,0.05359255064298744
219,6,21,none,0.1405042160996414,0.05438026824539837
220,5,23,none,0.09849123497174424,0.05457789327306702
221,5,23,none,0.09476975909386283,0.05461902619797187
222,5,20,none,0.059965042354494694,0.05464148262393708
223,8,21,none,0.05840414905353926,0.05358308520589043
224,6,20,none,0.06031051098675733,0.0544038169230036
225,72,23,none,0.09010266091941486,0.04589949321308804
226,5,26,none,0.1599186817325477,0.05403905842776283
227,9,21,none,0.05469631198934003,0.05321583427942886
228,11,25,none,0.1277161164789693,0.05246487166991372
229,6,20,none,0.08591609549464904,0.054459064327483875
230,2,22,none,0.05328762849628717,0.05250048643688842
231,5,22,none,0.11194109050805116,0.0545851329266882
