,topK,shrink,feature_weighting,tversky_alpha,tversky_beta,result
93,5,8.005944361496379,none,0.10596561327226602,0.8783083960030663,0.027913706016461006
94,8,8.077847837869873,none,0.10371645050150341,0.8458851330722047,0.027625280867548768
95,4,9.25347596622918,none,0.13388723220227491,0.762453645863552,0.027899898028395948
96,2,9.43508170944867,none,0.1367825794417382,0.7642849865259134,0.026854660527344767
97,4,9.066806253419065,BM25,0.7281071435810816,0.7344964394706036,0.02360372148360187
98,3,11.193651716063556,none,0.21015329473536282,0.8054748907977097,0.027569029656321718
99,6,6.95840090277839,none,0.2805903522382549,0.8546646342593492,0.027619101324396152
100,4,10.615561164092245,none,0.14615534745138928,1.215089585486634,0.027915992493134097
101,5,10.20021291894335,none,0.14271766152816864,1.0975609243115487,0.027956050970260753
102,6,11.816178760928393,none,0.12510258516200617,1.214892102735547,0.028024644127787806
103,6,10.412988285977784,none,0.1229517665518519,1.3262798969422205,0.027988238757070207
104,6,10.909932850562134,none,0.16858955315438648,1.3218644552943266,0.027957157071919706
105,6,10.767262186113392,none,0.19467618106552187,1.4536055225912146,0.027940800936437787
106,12,11.792256739188698,none,0.1956925568633578,1.4568237509033348,0.02748168876127528
107,9,10.806207233208232,none,0.23554059567359342,1.3987887985822713,0.02762842548714115
108,6,10.414471637380778,none,0.16777131977079526,1.332291704115312,0.027969868099661843
109,11,10.338074651490759,none,0.16820176327403177,1.3307797382185027,0.027518925993571194
110,6,13.492441496643252,none,0.8849635090447665,1.4526744714069546,0.0271305894699115
111,8,11.968896828971818,none,0.11670084398477945,1.2894925699658901,0.027766528221131907
112,6,11.236712518880863,none,0.22536993827839732,1.3788027515893113,0.02797019147442376
113,6,11.099286662048424,none,0.21413361619197366,1.215061604440528,0.02790798925344471
114,8,11.162778597142827,none,0.16435160804109755,1.3734992519048363,0.027772679197609413
115,6,9.701715320947308,none,0.2205218589677212,1.4184459793350837,0.027928473844808704
116,10,12.445552509229739,none,0.2485198070256754,1.4995136669459526,0.027619159600413275
117,6,9.87529944331056,none,0.22129913813134455,1.42480036285696,0.027925794290686503
118,6,9.963808140248375,BM25,0.23029131957934157,1.5955585263693186,0.0247914998372837
119,9,10.548844459683675,none,0.3025496418933419,1.4337597022183286,0.027500559906830833
120,7,11.50414700978173,none,0.21844828781005476,1.3240384643231942,0.027811881817150674
121,3,9.770939326483488,none,0.2006171463147863,1.3924168970627868,0.027650470961631427
122,6,10.82708923669235,none,0.16786574646599217,1.2474976144941043,0.027994657117626335
123,6,10.861209430035561,none,0.1722978283522148,1.2568843004781722,0.02797955791584782
124,6,10.583795356228427,none,0.17737600011119906,1.2637070839570566,0.027973800016819334
125,10,10.738328203433275,none,0.17419265272494902,1.2625711615495785,0.027566403807548715
126,8,12.870329622411468,none,0.2617811529335491,1.3525827438166687,0.027638930024900362
127,39,10.549779646332192,none,0.18984834177635865,1.4213317727641714,0.026225463511442552
128,7,11.56240123046026,none,0.16776210047903917,1.3049210877758743,0.027902296486435434
129,14,9.647187479791288,none,0.22376524566941985,1.548838681206274,0.02722488006567081
130,3,12.184440329486126,none,0.1966047670089715,1.4951138027581123,0.027804057976180782
131,6,10.019566453603247,none,0.1193695411015654,1.2347354854765829,0.027967827296394365
132,6,10.242066553676617,none,0.16140169342144195,1.2463983429250147,0.02800194961843991
133,6,10.07563019885552,none,0.1729637425487784,1.2509212279224022,0.027972433387083665
134,7,10.193144634965984,none,0.16496820435409199,1.2432378463081175,0.02788269517666484
135,8,24.84687082206407,none,0.12292675381559146,1.2765115896845591,0.027600831221684042
136,6,11.031169533368665,none,0.17711518010928903,1.334277386703188,0.02802231308710162
137,5,11.183220884034192,none,0.1810761492272251,1.3481492386209757,0.02800119545821794
138,2,11.361122116583742,none,0.1543443528757054,1.3349397376348668,0.026935296252417234
139,9,13.309111221201727,none,0.17969025312413262,1.237797759628057,0.02771315653075271
140,17,11.741605912023152,none,0.11970616917379885,1.3036299142947902,0.026998723412423598
141,5,10.895760122212423,none,0.18686714924574166,1.3730708231455744,0.027975638568027365
142,5,12.503921845727639,none,0.15315895144385988,1.3564238860751316,0.02799951916572438
143,4,12.761542663843155,none,0.17164418051556493,1.3569954918507614,0.027921447585406777
144,7,12.289907927755564,none,0.1534861202227989,1.269824092568167,0.02793732722874857
145,8,11.125034425118745,none,0.1821518768891075,1.3868846584998054,0.027754583922948863
146,5,13.786565996006399,BM25,0.10122676386171824,1.3129776738656953,0.025260009305879613
147,3,9.19960400601472,none,0.13004474768165006,1.2140701805536158,0.02769822301568952
148,6,11.824927480536966,none,0.1540672005616183,1.3617364079139493,0.027965719075773648
149,50,11.909037070804677,none,0.2056079413220225,1.3659590978610894,0.025707184038861155
150,5,12.902356585247514,none,0.1402859252631389,1.2668182056425186,0.02801928159154245
