topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
33,0.4554281859044761,0.3529179702875606,True,False,66,0.11905795181102191,0.0274601220642592
2,0.5351660278305095,0.8696821409365778,True,True,67,0.06645293767728658,0.014968321842674392
40,0.38161468751880323,0.13422919536522138,True,True,68,0.11895855769852806,0.027553336267701574
17,0.5766248143419557,0.25405635179759184,True,False,69,0.12002711320120397,0.02799211811154557
24,0.608372776009823,0.2511944353014752,True,True,70,0.11942469680869248,0.027756485320842017
15,0.5692568005248714,0.3007486366996316,True,False,71,0.11940435193247803,0.027840872421685463
21,0.4961141281412633,0.21162183231839146,True,False,72,0.12071175313374795,0.02817243439263053
26,0.4970188168142899,0.20921520752521722,True,False,73,0.12009060261261678,0.028018903368764423
8,0.6314885198041762,0.17525304652969395,True,False,74,0.11511404880320032,0.027071009669704642
20,0.49640917280650615,0.22065272188750082,True,False,75,0.12044658771461535,0.02821841988350208
193,0.5524883321737027,0.211343390969622,True,False,76,0.11148975873062121,0.024981790458638572
19,0.5048522986475299,0.21645145092550835,False,False,77,0.1125061610172011,0.025874087694664167
39,0.6249394011884211,0.260959005463949,True,False,78,0.118666446748794,0.02737990798331084
23,0.5825494437893901,0.29283741128086227,True,False,79,0.11908910258353163,0.027707658017133777
130,0.49717436151687766,0.2462122491971736,True,False,80,0.11432003780925727,0.025908819058222326
34,0.5428896763932356,0.1662053319572643,True,False,81,0.11930862329115609,0.027675173136903538
16,0.4197459372010932,0.20136599509018147,True,False,82,0.12107962501957548,0.0283664124004043
12,0.349332627512881,0.20514213780348578,True,False,83,0.1205701809828526,0.028218298760799693
7,0.3542960002129891,0.21970144129635968,True,False,84,0.11562370057160391,0.027018500692912607
14,0.42343489932642747,0.23550349672249957,True,False,85,0.12053314956289829,0.0282379777719266
13,0.2375491613883698,0.1937367543020479,True,False,86,0.12078999390505404,0.02820254138282754
13,0.20469464757551803,0.18208987576926855,True,False,87,0.12083166177208063,0.02816765118855584
14,0.19100832427517397,0.19972515027993176,True,False,88,0.12096332907579616,0.02817683823126043
14,0.18503381510490133,0.18279095797010678,False,False,89,0.09858165243359886,0.022233388364175967
5,0.15716751386233313,0.5603626943090102,True,False,90,0.10395884639108934,0.024332027722015277
12,0.24757529297501357,0.231091429095937,True,False,91,0.1205983651244042,0.028181476316625983
13,0.26630290002505186,0.2295329722738516,True,False,92,0.12098155827313017,0.02830138093592583
13,0.2604012924414358,0.23086624113740828,True,False,93,0.12095722127410782,0.02829871852180866
10,0.25390292689988764,0.15270840509781777,True,False,94,0.1193467515420487,0.027963122936342597
2,0.2644124715662222,0.2802161954437882,True,False,95,0.08696313379083322,0.0195607679453567
13,0.19769324825139498,0.19489296431114914,True,False,96,0.12082425053267075,0.02820592939049168
13,0.14081012158191225,0.19604334901393874,True,False,97,0.12048727025182127,0.028100916007575694
6,0.22248559515361194,0.17471975471376594,True,False,98,0.1138962879392819,0.026723058425934438
11,0.18846622089772397,0.24026559070479905,True,False,99,0.11984369847828577,0.02809416741625553
19,0.2955256721136899,0.3146002625331389,True,False,100,0.12012105935302589,0.028070676468006504
21,0.2414377362812028,0.199950538246633,True,False,101,0.12013750477573108,0.028176284037763868
8,0.2791430902882019,0.23008269976867432,True,False,102,0.11790421588018363,0.027592774276645478
12,0.2073199912841452,0.15054620085073697,True,False,103,0.12063603679327255,0.02810891581926408
6,0.3177885470478502,0.1562803134765853,True,False,104,0.1134076708815852,0.02669546644581129
2,0.2170504747571037,0.1454362060055429,True,False,105,0.0863164812858797,0.019438528857369488
12,0.1909555673527594,0.1853350421365229,True,False,106,0.12048442371135673,0.028101836997180118
18,0.16293801709914577,0.2840436736084353,True,False,107,0.12038595038425627,0.02800069154206948
23,0.11849475321985749,0.17334917821702434,False,False,108,0.09271658823323153,0.02108123151164769
13,0.23089205559895798,0.2619254040926978,True,False,109,0.1204680457345742,0.02820883519268045
7,0.2689632106161509,0.20241759552250388,True,False,110,0.11624846219964176,0.027205475294624526
96,0.249206413901018,0.23119184688735747,True,False,111,0.11502857844869792,0.026373956516492023
18,0.20571445053679227,0.14402946663122174,True,False,112,0.1208040758281972,0.028032917036889936
17,0.16955406844984838,0.14473995821179114,True,False,113,0.12046454345198566,0.028031005354993848
24,0.20659163559335258,0.50738773254856,True,False,114,0.1153664305503236,0.026501325036656233
11,0.20370201213605565,0.16380239696746235,True,False,115,0.1200901377425419,0.0280282618115196
78,0.3141106039853879,0.13197058398951314,True,False,116,0.11597941716932367,0.02645262571165227
16,0.22533616925214842,0.18769568313698015,True,False,117,0.1209096292493968,0.028180250234931623
32,0.23477319517307427,0.1869305985525395,True,False,118,0.11941647129985357,0.027785887285497867
17,0.27607957288024315,0.11513390356028345,True,False,119,0.12056771322834069,0.02808892486004532
21,0.14939671028192913,0.16401837968156147,True,False,120,0.11999059150428491,0.027945031089683017
14,0.17699824493607386,0.19672391152767174,True,False,121,0.12113337976688726,0.028164028934156107
5,0.17872014807563905,0.18423947306771554,True,False,122,0.11105245321121064,0.026042975020384607
16,0.13196729622578765,0.4831799417322343,True,False,123,0.11651500285867214,0.026792959937179953
27,0.20085399657428576,0.22093487839966125,True,False,124,0.11998822207923641,0.027931682453753187
9,0.22220096381965734,0.13833807508600268,True,False,125,0.11862640179593498,0.02778556962407089
21,0.26124480727585464,0.24889472427141365,True,False,126,0.12040716636174571,0.02815205949729888
15,0.17063980073052346,0.19972744860548178,True,False,127,0.12100568003868936,0.028145523442041343
2,0.11398040928894583,0.2012017181011621,True,False,128,0.08736824099908923,0.019518052767447946
176,0.16864940502014636,0.1687307597230989,False,False,129,0.09146942909579452,0.020234764363781167
113,0.19627013571840532,0.18204755878157522,True,False,130,0.113040005735405,0.02575699632152576
15,0.24181880539393086,0.2312153686950645,True,False,131,0.12153269309518386,0.028219214037069184
16,0.21523594976181307,0.2111495282876546,True,False,132,0.12148438304735842,0.028252314814814123
23,0.23135447211204066,0.21165230044048378,True,False,133,0.12019054352271563,0.028123596804919423
16,0.17341988534430702,0.2693794889518457,True,False,134,0.12068428523504042,0.02807976752668283
29,0.13444062868147294,0.24540856952607995,True,False,135,0.11955157137456227,0.027663275688067618
19,0.21967930130143454,0.19447901480201413,True,False,136,0.12066961960789849,0.028192289374475855
25,0.14927494633394695,0.21872045190586425,True,False,137,0.11999157484316629,0.027918422945849616
7,0.18788833216708248,0.23237988548501237,True,False,138,0.11646706665437406,0.027281995133152003
15,0.2923657668012272,0.6805351614201982,True,False,139,0.10600130139617885,0.023854244368022453
34,0.25344557148513,0.20964684611344403,True,False,140,0.11936080263500388,0.027717771762778058
16,0.17852023388117824,0.27283042904446275,True,False,141,0.12075703334060855,0.028078227211562633
20,0.23643405036981796,0.2571409688929068,True,False,142,0.12095229598948122,0.028152555414778315
9,0.23868853695779368,0.2618935094119739,True,False,143,0.11856035024868425,0.027868511251155647
15,0.21320217459041788,0.24633632399913574,True,False,144,0.12141673990848367,0.028212002665612763
13,0.2159802538568529,0.24880425957697738,True,False,145,0.12046560488129135,0.028265628028066946
5,0.20080094821844918,0.19237811371188912,True,False,146,0.11075265663992727,0.02600456198374242
20,0.2705896543723434,0.17722629433615042,True,False,147,0.12056971885483918,0.028174294654511566
25,0.23163484935038053,0.530448717542402,True,False,148,0.11463127483984001,0.026210304890979898
30,0.2506634380434943,0.22872951574751627,True,False,149,0.11948617580427134,0.027791358375108544
9,0.1574743779035963,0.1582933678141481,True,False,150,0.11880536513903067,0.027808098446703403
16,0.17723306399039074,0.24013933266835522,True,False,151,0.12111259461909707,0.02808147238585141
18,0.21803794306041863,0.2006413831745101,True,False,152,0.1210901195245712,0.028158931496655288
18,0.1871028147985064,0.24012564058734287,True,False,153,0.12107953696620971,0.028136078156594024
22,0.18254232311673646,0.28890465014044175,True,False,154,0.12026067262719226,0.027941815624736563
15,0.21978687739262828,0.24435986560168216,True,False,155,0.12146929330308984,0.02822527131485243
26,0.2174404061230444,0.25166679483867216,False,False,156,0.10004218862414882,0.023024556142429042
17,0.1639460613338013,0.24215370157089866,True,False,157,0.12130041722107823,0.02807120666549575
18,0.10182328724445028,0.3110855610321873,True,False,158,0.11936591040859044,0.027816178245082212
9,0.13003603742634143,0.23279162538225076,True,False,159,0.11906017940059846,0.027834841425243364
17,0.16240791293908308,0.2737642970057833,True,False,160,0.12086473702090346,0.027991088568575642
16,0.15560465540972773,0.2690248172781582,True,False,161,0.12039213389857993,0.02802774646870115
20,0.17040667222534883,0.3276051165980841,True,False,162,0.11965344432304864,0.027853168661305463
23,0.1437841625950571,0.247776704442855,True,False,163,0.11992219945413907,0.027992536327668634
15,0.18507665111793928,0.28742898818149354,True,False,164,0.12006955957974484,0.02801814120987331
11,0.22626561752284116,0.21699422128551707,True,False,165,0.12006327239822771,0.028140224895148166
26,0.16399725967503567,0.23721446423065434,True,False,166,0.11984431673307512,0.02783677253247844
7,0.283675060020074,0.2647690442427102,True,False,167,0.11609381857773705,0.027106654024198318
19,0.18912147890036973,0.22445651556623294,True,False,168,0.12092086209784596,0.02819345603748602
31,0.1872709381877768,0.2252140526361047,True,False,169,0.11945444402949561,0.027700722028425218
150,0.21542127854743598,0.21029034493197132,True,False,170,0.1116546685178335,0.025194764162671173
19,0.12381904470422095,0.2518271295356525,True,False,171,0.12010369135422966,0.028022782723239863
14,0.19626132882129219,0.23037443656824783,True,False,172,0.12109433225999816,0.028225409577559875
13,0.25167993823155477,0.241678335685169,True,False,173,0.12096770340967189,0.028264851014504808
10,0.2475274556393422,0.23904840596672955,True,False,174,0.11952784653250224,0.027948087723916354
4,0.201226307111601,0.22662840915874466,True,False,175,0.10543685028141384,0.024919154024198423
13,0.2643162112077932,0.21152681540672305,True,False,176,0.12099751380454621,0.028280695235169295
13,0.2680471208826726,0.20473997304154998,True,False,177,0.12090614108137829,0.02824366025493291
6,0.29765415448618204,0.2531626987905191,True,False,178,0.11344702422534463,0.026577187841656878
13,0.26037372549229487,0.4504887976139418,True,False,179,0.11811763995873072,0.027251243678765327
23,0.24017699095658662,0.8373379288131112,True,False,180,0.09088292071962291,0.020204740788275527
20,0.19233558669610118,0.21908496124123378,True,False,181,0.12049548184458973,0.028119280951648895
11,0.21232288869972746,0.23877061346831316,True,False,182,0.11988524052701045,0.028099079741701727
16,0.17516493493722052,0.20554991545195314,True,False,183,0.1212366094194211,0.02821175927754122
14,0.1739199795400089,0.20127057155396144,True,False,184,0.1210480482208696,0.02818280523835053
2,0.17375388896073582,0.2019207160324188,True,False,185,0.08697436309379089,0.019492199926503542
14,0.14233046234155017,0.2066699431228976,False,False,186,0.09730065350768813,0.02189987128998853
8,0.1720701740958474,0.2137501623508406,True,False,187,0.1183190446931125,0.02770142134063106
15,0.20409097487802128,0.23666971147370008,True,False,188,0.1213442844853919,0.028190645076658374
15,0.15416783183579125,0.1744992866687592,True,False,189,0.12109587598064608,0.028139170213504355
17,0.15858358555879573,0.17114829180696364,True,False,190,0.12070953904505659,0.02809122047805453
15,0.19674541710778098,0.1955375440131573,True,False,191,0.12120606956231625,0.028120678433393692
10,0.21091082143648177,0.18982191874337012,True,False,192,0.11989304078474132,0.028115287330473197
24,0.3336388856655574,0.24182786631906092,True,False,193,0.12039785233859893,0.028048833245575687
16,0.17823039643050595,0.21799559875279226,True,False,194,0.12120708777974891,0.028224658845338833
17,0.1450526556550027,0.17986047668962585,True,False,195,0.12076716580333101,0.02812453836253001
22,0.1812859014957082,0.20398051050195737,True,False,196,0.11983615456991642,0.028059128675273347
128,0.19456158530613676,0.22136812815273973,True,False,197,0.11317021708118387,0.025555300740813223
7,0.16862173224420965,0.19393500240598802,True,False,198,0.11664281392498947,0.02732714190644319
16,0.15360734007664617,0.17059715094050304,True,False,199,0.12094063695454038,0.0281160609160342
10,0.20789508080688962,0.21116143949337632,True,False,200,0.11969198736453822,0.028102938528171185
13,0.2282194267004433,0.23632645414019945,True,False,201,0.12081554067640272,0.028271705873856197
15,0.19726092756711539,0.22598652244829187,True,False,202,0.12138296916228888,0.02828687020765382
18,0.1827545646338789,0.2212175159265487,True,False,203,0.12096293792064253,0.028148985723060616
26,0.20538154619434917,0.19497726891024567,True,False,204,0.1198735186488476,0.027992689445046914
21,0.16404019170251247,0.2258154027212004,True,False,205,0.11989358039423244,0.028055917780994716
15,0.17554635520376638,0.25364167846311897,True,False,206,0.1208271599599163,0.028129779776073182
10,0.13410362480222882,0.20953672163902604,True,False,207,0.11951328685489779,0.028010681879677375
20,0.19029441400362565,0.18417057641614223,True,False,208,0.1203747638765076,0.02807988407871703
6,0.22334219137774972,0.2628937697443185,True,False,209,0.11386932848989549,0.02666852578588007
16,0.19662715080841375,0.2373189345065906,True,False,210,0.1214420196975462,0.028166941592346926
16,0.19897926490135406,0.23157873747795454,True,False,211,0.12140432207278712,0.028181764268710708
16,0.19742666930928018,0.23646896322798744,True,False,212,0.12145359342806367,0.02816445057828022
18,0.1991854204697311,0.2421641770416867,True,False,213,0.1211373030305987,0.028147258010552057
23,0.19585780794275917,0.2798264747170166,True,False,214,0.12007477825854744,0.027946010355304675
17,0.20587046182248092,0.24398622396807576,True,False,215,0.12159162780372566,0.028173539351622562
19,0.2099255466760747,0.263521789120331,True,False,216,0.12089430104530628,0.028092334578382623
28,0.19941034869502136,0.2419368656147761,True,False,217,0.11961493991637533,0.02778782867673605
19,0.22075070436777056,0.25047528053644014,True,False,218,0.12078981010832045,0.028134176758700877
24,0.1943897719586865,0.23640583922795594,False,False,219,0.09846962749374637,0.022633385804601888
17,0.21308639059793863,0.26800303955450455,True,False,220,0.12108982773133646,0.02812879708245039
18,0.21047532076117045,0.2572511256982933,True,False,221,0.12089043868109456,0.02813574678316317
