topK,alpha,beta,normalize_similarity,implicit,iteration,RECALL,MAP
11,0.30340372740710986,0.24018813848510417,True,True,206,0.04292078662246636,0.04292078662246636
10,0.29679950111657366,0.24868580472727103,True,True,207,0.04271204106814146,0.04271204106814146
12,0.308539292982031,0.24495659552752153,True,True,208,0.04285141628200034,0.04285141628200034
12,0.29578330542819203,0.23042389382547573,True,True,209,0.042872983639192126,0.042872983639192126
13,0.3039910599081994,0.24078460561401843,True,False,210,0.04273324213190263,0.04273324213190263
11,0.30215617387058696,0.24058940739644957,True,True,211,0.04291911857853641,0.04291911857853641
11,0.2989726867855025,0.24531277779931393,True,True,212,0.042894086649019905,0.042894086649019905
11,0.29182582547795427,0.23609697741436805,True,True,213,0.04290199520594989,0.04290199520594989
11,0.29218083201148287,0.2350138466997176,True,True,214,0.04290584297755591,0.04290584297755591
9,0.29294846428560256,0.23661217643109433,True,True,215,0.04262638475822428,0.04262638475822428
10,0.31130257610731615,0.23365641311787944,True,True,216,0.04272860767471357,0.04272860767471357
10,0.31952125302991463,0.24149090022872916,True,True,217,0.04273223228909106,0.04273223228909106
11,0.30063722851267927,0.22939914888730303,True,True,218,0.04291012804716512,0.04291012804716512
11,0.2928622699960712,0.2276997901956611,True,True,219,0.04289603871124046,0.04289603871124046
9,0.3006161342865391,0.2310541315854386,True,True,220,0.04260679989378438,0.04260679989378438
11,0.3045394520396771,0.2364465351157452,True,True,221,0.04289145384454655,0.04289145384454655
12,0.29950797608139335,0.24763046615762344,True,True,222,0.0429039946045523,0.0429039946045523
12,0.29893593847238026,0.24835019859848717,True,True,223,0.04288659059484518,0.04288659059484518
13,0.2929208987116112,0.25505878749497224,True,True,224,0.04274434251343394,0.04274434251343394
30,0.31111829631745314,0.24541141753990775,True,True,225,0.04158669184962018,0.04158669184962018
10,0.29867984408452075,0.2506808297457859,True,True,226,0.042699316597891945,0.042699316597891945
12,0.4653665609089646,0.24284719936167612,True,True,227,0.04260419526572882,0.04260419526572882
11,0.29237354275314786,0.23671501252182112,True,True,228,0.04290554768869804,0.04290554768869804
12,0.2911895529440208,0.2328704600411816,True,True,229,0.042875723514052735,0.042875723514052735
10,0.2917747652872663,0.24695850537597147,True,True,230,0.042689439072890425,0.042689439072890425
11,0.3012324972233937,0.23771302504233932,True,True,231,0.042919666328097135,0.042919666328097135
11,0.29775126805878827,0.24268290602061598,True,True,232,0.04290694073079103,0.04290694073079103
11,0.29721156633147483,0.23679447329089137,True,True,233,0.04291837922933497,0.04291837922933497
12,0.2971757689977078,0.24212930246099015,True,True,234,0.04291579714241345,0.04291579714241345
13,0.2998357355818008,0.2378454531960555,True,True,235,0.04277811589478884,0.04277811589478884
12,0.2993444272316486,0.22941521124252073,False,True,236,0.03475140284748529,0.03475140284748529
12,0.3102150637999029,0.24182347045908023,True,True,237,0.042846615020418186,0.042846615020418186
10,0.2969357981149335,0.23443069036613684,True,True,238,0.04275230066085924,0.04275230066085924
